subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
hand-crafted	qwen3-embedding-0.6b	stepfinder.e6	0.1220	0.3659	0.1829	0.3659					0.2439	0.3415	0.3659	0.3008	0.3415	0.3902	0.3902	0.4390	0.4634	0.7549	0.1888	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e7	0.0732	0.2195	0.1098	0.2195					0.0732	0.1707	0.2195	0.1382	0.1220	0.1707	0.1951	0.3415	0.3415	0.6933	0.0781	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e8	0.0813	0.2439	0.1220	0.2439					0.1220	0.1707	0.2439	0.1707	0.1463	0.1951	0.2195	0.2683	0.3415	0.6911	0.0741	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.e9	0.1138	0.3415	0.1707	0.3415					0.1707	0.2927	0.3415	0.2480	0.2195	0.2439	0.2439	0.3171	0.3415	0.7431	0.1270	41
hand-crafted	qwen3-embedding-0.6b	stepfinder.s42	0.0805	0.2414	0.1207	0.2414					0.1034	0.1724	0.2414	0.1609	0.1724	0.2759	0.3448	0.5000	0.5000	0.7756	0.0795	58
hand-crafted	qwen3-embedding-0.6b	stepfinder.s43	0.0862	0.2586	0.1293	0.2586					0.0862	0.1207	0.2586	0.1494	0.1724	0.2241	0.3103	0.4655	0.5345	0.7761	0.0732	58
hand-crafted	qwen3-embedding-0.6b	stepfinder.s44	0.0747	0.2241	0.1121	0.2241					0.1207	0.1552	0.2241	0.1609	0.1552	0.2414	0.2759	0.3448	0.4310	0.7769	0.0955	58
hand-crafted	qwen3-embedding-0.6b	stepfinder.s45	0.0862	0.2586	0.1293	0.2586					0.1207	0.2069	0.2586	0.1810	0.1897	0.2931	0.3103	0.3966	0.4655	0.7831	0.0926	58
hand-crafted	qwen3-embedding-0.6b	stepfinder.s46	0.0747	0.2241	0.1121	0.2241					0.1379	0.1724	0.2241	0.1724	0.2241	0.3103	0.3448	0.4138	0.4310	0.7524	0.0895	58
hand-crafted	qwen3.5-9b	oat.s42	0.0747	0.2241	0.1121	0.2241	0.0430	0.2931	0.0727	0.2931	0.1034	0.1552	0.2241	0.1523	0.1724	0.2586	0.3276	0.3621	0.3621	0.5855	0.0472	58
hand-crafted	qwen3.5-9b	oat.s43	0.0747	0.2241	0.1121	0.2241	0.0425	0.3103	0.0723	0.3103	0.1034	0.1379	0.2241	0.1494	0.1552	0.2241	0.2931	0.3448	0.3448	0.5567	0.0430	58
hand-crafted	qwen3.5-9b	oat.s44	0.0920	0.2759	0.1379	0.2759	0.0523	0.3621	0.0867	0.3621	0.1207	0.1724	0.2759	0.1810	0.1552	0.2414	0.2931	0.3448	0.3448	0.5853	0.0494	58
hand-crafted	qwen3.5-9b	oat.s45	0.0805	0.2414	0.1207	0.2414	0.0575	0.3448	0.0867	0.3448	0.1207	0.1379	0.2414	0.1638	0.1552	0.2241	0.2931	0.3448	0.3448	0.5754	0.0459	58
hand-crafted	qwen3.5-9b	oat.s46	0.0862	0.2586	0.1293	0.2586	0.0418	0.2586	0.0699	0.2586	0.1034	0.1552	0.2586	0.1638	0.1379	0.2241	0.3103	0.3448	0.3448	0.5775	0.0491	58
hand-crafted	qwen3.5-9b	stepfinder.s42	0.0977	0.2931	0.1466	0.2931					0.1552	0.2241	0.2931	0.2126	0.2759	0.3276	0.4138	0.4138	0.4655	0.6262	0.1069	58
hand-crafted	qwen3.5-9b	stepfinder.s43	0.0862	0.2586	0.1293	0.2586					0.0862	0.1724	0.2586	0.1580	0.2069	0.2586	0.3621	0.3621	0.4138	0.6258	0.0839	58
hand-crafted	qwen3.5-9b	stepfinder.s44	0.0920	0.2759	0.1379	0.2759					0.1552	0.2414	0.2759	0.2098	0.3103	0.3103	0.3793	0.4310	0.4483	0.6432	0.1367	58
hand-crafted	qwen3.5-9b	stepfinder.s45	0.0517	0.1552	0.0776	0.1552					0.0517	0.0862	0.1552	0.0920	0.1552	0.2241	0.3103	0.3621	0.4138	0.7413	0.0751	58
hand-crafted	qwen3.5-9b	stepfinder.s46	0.0977	0.2931	0.1466	0.2931					0.1379	0.2586	0.2931	0.2098	0.3276	0.3793	0.4138	0.4483	0.5000	0.6434	0.1138	58
