subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
mmlu_pro	qwen3.5-9b	oat.s44	0.6649	0.8587	0.7138	0.8587	0.6903	0.7717	0.7047	0.7717	0.6848	0.7826	0.8587	0.7591	0.7391	0.8478	0.8587	0.8913	0.9022	0.6664	0.2689	92
mmlu_pro	qwen3.5-9b	oat.s45	0.6576	0.8370	0.7029	0.8370	0.6845	0.7609	0.7002	0.7609	0.6848	0.7935	0.8370	0.7536	0.7391	0.8587	0.8696	0.9022	0.9130	0.6450	0.2539	92
mmlu_pro	qwen3.5-9b	oat.s46	0.6612	0.8478	0.7083	0.8478	0.7208	0.7609	0.7290	0.7609	0.7065	0.7826	0.8478	0.7663	0.7609	0.8804	0.8913	0.9239	0.9348	0.6994	0.2897	92
mmlu_pro	qwen3.5-9b	stepfinder.s42	0.3442	0.7500	0.4692	0.7500					0.3913	0.7283	0.7500	0.5670	0.7065	0.7826	0.8261	0.8478	0.8478	0.7570	0.5148	92
mmlu_pro	qwen3.5-9b	stepfinder.s43	0.3406	0.7391	0.4638	0.7391					0.3804	0.7065	0.7391	0.5543	0.7065	0.7935	0.8152	0.8478	0.8913	0.7491	0.5015	92
mmlu_pro	qwen3.5-9b	stepfinder.s44	0.3442	0.7500	0.4692	0.7500					0.5217	0.7065	0.7500	0.6286	0.6848	0.7826	0.7935	0.8261	0.8696	0.7775	0.6692	92
mmlu_pro	qwen3.5-9b	stepfinder.s45	0.3370	0.7283	0.4583	0.7283					0.1087	0.6630	0.7283	0.4076	0.7391	0.8261	0.8913	0.9022	0.9348	0.7352	0.3133	92
mmlu_pro	qwen3.5-9b	stepfinder.s46	0.3406	0.7391	0.4638	0.7391					0.4674	0.7065	0.7391	0.5978	0.7174	0.7826	0.8152	0.8478	0.8587	0.7637	0.5892	92
musique	deepseek-8b	oat.s42	0.2254	0.6250	0.3253	0.6250	0.3155	0.5673	0.3681	0.5673	0.3301	0.4904	0.6250	0.4551	0.4712	0.6026	0.6859	0.7628	0.8013	0.7441	0.2111	312
musique	deepseek-8b	oat.s43	0.2158	0.5962	0.3109	0.5962	0.3249	0.5737	0.3757	0.5737	0.3494	0.4840	0.5962	0.4541	0.4808	0.6154	0.6955	0.7660	0.8141	0.7518	0.2228	312
musique	deepseek-8b	oat.s44	0.2201	0.6090	0.3173	0.6090	0.3441	0.5737	0.3944	0.5737	0.3590	0.5032	0.6090	0.4663	0.4872	0.6122	0.6987	0.7628	0.8045	0.7322	0.2140	312
musique	deepseek-8b	oat.s45	0.2254	0.6250	0.3253	0.6250	0.3263	0.5385	0.3739	0.5385	0.3301	0.4936	0.6250	0.4557	0.4679	0.5897	0.6795	0.7660	0.8077	0.7387	0.2114	312
musique	deepseek-8b	oat.s46	0.2158	0.5962	0.3109	0.5962	0.3232	0.6026	0.3783	0.6026	0.3397	0.4840	0.5962	0.4493	0.4679	0.5994	0.6891	0.7564	0.7949	0.7398	0.2078	312
musique	deepseek-8b	stepfinder.s42	0.1554	0.4519	0.2308	0.4519					0.1731	0.3429	0.4519	0.2943	0.4712	0.6571	0.7340	0.8077	0.8558	0.7397	0.2098	312
musique	deepseek-8b	stepfinder.s43	0.1886	0.5513	0.2804	0.5513					0.1891	0.4199	0.5513	0.3483	0.5513	0.7051	0.7724	0.8397	0.8654	0.7944	0.2273	312
musique	deepseek-8b	stepfinder.s44	0.1490	0.4327	0.2212	0.4327					0.2212	0.3494	0.4327	0.3130	0.3974	0.7372	0.7596	0.8526	0.8750	0.6633	0.2877	312
musique	deepseek-8b	stepfinder.s45	0.1405	0.4071	0.2083	0.4071					0.1827	0.3237	0.4071	0.2810	0.4006	0.6699	0.8045	0.8526	0.8846	0.6871	0.2492	312
musique	deepseek-8b	stepfinder.s46	0.1597	0.4647	0.2372	0.4647					0.1506	0.3590	0.4647	0.2901	0.4519	0.6699	0.7436	0.8173	0.8429	0.7153	0.2155	312
musique	qwen3-embedding-0.6b	stepfinder.e1	0.2215	0.6484	0.3295	0.6484					0.4840	0.5936	0.6484	0.5571	0.6073	0.6393	0.7032	0.7215	0.7489	0.8209	0.4666	219
musique	qwen3-embedding-0.6b	stepfinder.e2	0.2139	0.6301	0.3189	0.6301					0.4658	0.5845	0.6301	0.5403	0.6210	0.6438	0.7215	0.7534	0.7900	0.7918	0.4165	219
