subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
captain	qwen3.5-9b	stepfinder.s46	0.1216	0.3647	0.1824	0.3647					0.1412	0.2824	0.3647	0.2392	0.2000	0.3647	0.3882	0.5059	0.5294	0.6245	0.1278	85
magentic	deepseek-8b	oat.s42	0.0989	0.2967	0.1484	0.2967	0.0877	0.3956	0.1277	0.3956	0.1538	0.2308	0.2967	0.2143	0.1978	0.2527	0.3077	0.3516	0.4505	0.6517	0.0803	91
magentic	deepseek-8b	oat.s43	0.0952	0.2857	0.1429	0.2857	0.0626	0.3846	0.1038	0.3846	0.1319	0.2418	0.2857	0.2015	0.1868	0.2527	0.2967	0.3407	0.4176	0.6560	0.0797	91
magentic	deepseek-8b	oat.s44	0.0989	0.2967	0.1484	0.2967	0.0892	0.3736	0.1292	0.3736	0.1099	0.2418	0.2967	0.1941	0.1538	0.1978	0.2637	0.3077	0.3736	0.6490	0.0775	91
magentic	deepseek-8b	oat.s45	0.1026	0.3077	0.1538	0.3077	0.0802	0.3516	0.1163	0.3516	0.1209	0.2418	0.3077	0.2033	0.1758	0.2527	0.2857	0.3297	0.4176	0.6496	0.0809	91
magentic	deepseek-8b	oat.s46	0.1026	0.3077	0.1538	0.3077	0.0639	0.3846	0.1043	0.3846	0.1209	0.2527	0.3077	0.2051	0.1758	0.2527	0.3077	0.3516	0.4505	0.6538	0.0798	91
magentic	deepseek-8b	stepfinder.s42	0.0330	0.0989	0.0495	0.0989					0.0659	0.0769	0.0989	0.0788	0.1319	0.1978	0.2857	0.3407	0.4505	0.6261	0.0799	91
magentic	deepseek-8b	stepfinder.s43	0.0330	0.0989	0.0495	0.0989					0.0110	0.0769	0.0989	0.0513	0.0879	0.1538	0.2418	0.3516	0.4505	0.6429	0.0686	91
magentic	deepseek-8b	stepfinder.s44	0.0366	0.1099	0.0549	0.1099					0.0330	0.0549	0.1099	0.0623	0.1209	0.1978	0.2747	0.3846	0.4505	0.6115	0.0517	91
magentic	deepseek-8b	stepfinder.s45	0.0440	0.1319	0.0659	0.1319					0.0659	0.0989	0.1319	0.0934	0.1538	0.2088	0.2747	0.3297	0.4066	0.6071	0.0665	91
magentic	deepseek-8b	stepfinder.s46	0.0623	0.1868	0.0934	0.1868					0.0659	0.1099	0.1868	0.1136	0.1648	0.2857	0.3626	0.4396	0.4945	0.5861	0.0816	91
