model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca.s42_step@1_val	stepfinder-pca.s42_step@1_test	stepfinder-pca.s42_step@1_full	stepfinder-pca.s42_agent@1_val	stepfinder-pca.s42_agent@1_test	stepfinder-pca.s42_agent@1_full	stepfinder-pca.s43_step@1_val	stepfinder-pca.s43_step@1_test	stepfinder-pca.s43_step@1_full	stepfinder-pca.s43_agent@1_val	stepfinder-pca.s43_agent@1_test	stepfinder-pca.s43_agent@1_full	stepfinder-pca.s44_step@1_val	stepfinder-pca.s44_step@1_test	stepfinder-pca.s44_step@1_full	stepfinder-pca.s44_agent@1_val	stepfinder-pca.s44_agent@1_test	stepfinder-pca.s44_agent@1_full	stepfinder-pca.s45_step@1_val	stepfinder-pca.s45_step@1_test	stepfinder-pca.s45_step@1_full	stepfinder-pca.s45_agent@1_val	stepfinder-pca.s45_agent@1_test	stepfinder-pca.s45_agent@1_full	stepfinder-pca.s46_step@1_val	stepfinder-pca.s46_step@1_test	stepfinder-pca.s46_step@1_full	stepfinder-pca.s46_agent@1_val	stepfinder-pca.s46_agent@1_test	stepfinder-pca.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
deepseek-8b	wikimqa	147.0	367.0	733.0	0.0	0.326530612244898	0.31698455949137144	0.3178717598908595	0.6349206349206349	0.6648501362397821	0.6507503410641201	0.1927437641723356	0.21162579473206175	0.20463847203274219	0.6462585034013605	0.6784741144414168	0.6630286493860846	0.13378684807256236	0.14532243415077203	0.14597544338335608	0.5963718820861679	0.617620345140781	0.6030013642564802	0.3106575963718821	0.3188010899182561	0.31377899045020463	0.6326530612244898	0.6575840145322435	0.6493860845839018	0.1655328798185941	0.1952770208900999	0.1869031377899045	0.6326530612244898	0.6693914623069936	0.6521145975443383	0.3188010899182561	0.6839237057220707	0.3178717598908595	0.6630286493860846
qwen3.5-4b	arc	61.0	152.0	304.0	0.0	0.2568306010928962	0.23684210526315788	0.24671052631578946	0.36612021857923494	0.34210526315789475	0.33881578947368424	0.46994535519125674	0.4692982456140351	0.4802631578947369	0.5792349726775956	0.5855263157894737	0.5822368421052632	0.5191256830601093	0.4671052631578947	0.4868421052631579	0.6174863387978142	0.5635964912280702	0.5756578947368421	0.27322404371584696	0.21710526315789472	0.24671052631578946	0.3989071038251366	0.35964912280701755	0.3651315789473684	0.6284153005464481	0.6074561403508771	0.6151315789473685	0.7377049180327869	0.6973684210526315	0.6973684210526315	0.6074561403508771	0.6973684210526315	0.6151315789473685	0.6973684210526315
qwen3.5-4b	gaia	10.0	25.0	50.0	0.0	0.26666666666666666	0.13333333333333333	0.14	0.5333333333333333	0.41333333333333333	0.44	0.4333333333333333	0.3333333333333333	0.34	0.6666666666666666	0.56	0.6	0.4666666666666666	0.37333333333333335	0.38000000000000006	0.7000000000000001	0.5733333333333334	0.6	0.4000000000000001	0.3466666666666667	0.34	0.6333333333333333	0.5333333333333333	0.56	0.43333333333333335	0.37333333333333335	0.36000000000000004	0.5666666666666668	0.5333333333333333	0.54	0.37333333333333335	0.5733333333333334	0.38000000000000006	0.6
qwen3.5-4b	hotpot	116.0	289.0	578.0	0.0	0.19827586206896552	0.17647058823529413	0.17128027681660898	0.6810344827586207	0.6689734717416377	0.6626297577854672	0.22413793103448276	0.23183391003460208	0.22491349480968859	0.6982758620689656	0.6885813148788928	0.6816608996539792	0.22413793103448276	0.21337946943483274	0.21280276816608998	0.6954022988505747	0.6470588235294117	0.6608996539792388	0.14655172413793105	0.1441753171856978	0.14013840830449828	0.7040229885057471	0.6608996539792388	0.6643598615916955	0.24425287356321843	0.23068050749711647	0.2301038062283737	0.7155172413793104	0.6989619377162629	0.7024221453287197	0.2364475201845444	0.7001153402537486	0.2301038062283737	0.7024221453287197
qwen3.5-4b	math500	32.0	79.0	157.0	0.0	0.19791666666666666	0.2658227848101266	0.23566878980891723	0.40625	0.4261603375527427	0.4203821656050956	0.3333333333333333	0.4514767932489452	0.3885350318471337	0.4791666666666667	0.5780590717299579	0.535031847133758	0.3958333333333333	0.48101265822784817	0.4331210191082803	0.5729166666666666	0.6075949367088608	0.5796178343949044	0.28125	0.38396624472573837	0.33121019108280253	0.5	0.5316455696202532	0.5031847133757962	0.3958333333333333	0.5063291139240507	0.43949044585987257	0.6041666666666666	0.6371308016877637	0.5923566878980892	0.5063291139240507	0.6371308016877637	0.43949044585987257	0.5923566878980892
qwen3.5-4b	mmlu_pro	19.0	46.0	92.0	0.0	0.15789473684210525	0.11594202898550725	0.14130434782608695	0.3333333333333333	0.3550724637681159	0.34782608695652173	0.2982456140350877	0.31884057971014496	0.31521739130434784	0.47368421052631576	0.5362318840579711	0.5	0.3508771929824561	0.3913043478260869	0.3804347826086956	0.47368421052631576	0.5797101449275363	0.532608695652174	0.2807017543859649	0.30434782608695654	0.30434782608695654	0.4561403508771929	0.5217391304347826	0.4891304347826087	0.2982456140350877	0.3768115942028985	0.3695652173913044	0.47368421052631576	0.572463768115942	0.5434782608695652	0.39855072463768115	0.5869565217391305	0.3804347826086956	0.5434782608695652
qwen3.5-4b	musique	63.0	156.0	312.0	0.0	0.19047619047619047	0.1452991452991453	0.16346153846153846	0.6772486772486772	0.6495726495726496	0.6538461538461539	0.2433862433862434	0.2158119658119658	0.22435897435897437	0.7037037037037037	0.6709401709401709	0.6794871794871794	0.20105820105820105	0.16666666666666666	0.16987179487179485	0.7195767195767196	0.6474358974358974	0.6602564102564102	0.14814814814814814	0.12393162393162394	0.13782051282051283	0.6772486772486772	0.6388888888888888	0.6634615384615384	0.2486772486772487	0.23931623931623933	0.2467948717948718	0.7513227513227513	0.7200854700854701	0.7275641025641025	0.23931623931623933	0.7200854700854701	0.2467948717948718	0.7275641025641025
qwen3.5-4b	wikimqa	147.0	367.0	733.0	0.0	0.14512471655328799	0.15258855585831063	0.14733969986357434	0.6848072562358277	0.6639418710263397	0.6684856753069578	0.15873015873015872	0.17166212534059944	0.16371077762619374	0.7188208616780045	0.7075386012715713	0.7066848567530696	0.17233560090702948	0.15803814713896458	0.15961800818553887	0.6757369614512472	0.7002724795640326	0.6889495225102319	0.09750566893424036	0.10626702997275204	0.09549795361527967	0.72562358276644	0.7111716621253406	0.7148703956343793	0.16099773242630386	0.15894641235240692	0.16098226466575716	0.709750566893424	0.6839237057220707	0.6916780354706685	0.17166212534059944	0.7138964577656676	0.16371077762619374	0.7148703956343793
qwen3-14b	arc	61.0	152.0	304.0	0.0	0.7595628415300547	0.7653508771929824	0.7697368421052632	0.8579234972677595	0.850877192982456	0.8453947368421053	0.7814207650273225	0.7785087719298246	0.7927631578947368	0.8797814207650273	0.8640350877192983	0.8585526315789473	0.7978142076502732	0.7872807017543858	0.7993421052631579	0.8688524590163934	0.8530701754385964	0.8486842105263158	0.6994535519125683	0.7258771929824562	0.7335526315789473	0.7759562841530054	0.8114035087719298	0.8026315789473685	0.6174863387978142	0.6140350877192983	0.631578947368421	0.6885245901639344	0.6907894736842106	0.6940789473684209	0.7894736842105262	0.8662280701754387	0.7993421052631579	0.8585526315789473
qwen3-14b	gaia	10.0	25.0	50.0	0.0	0.43333333333333335	0.3333333333333333	0.36000000000000004	0.7333333333333334	0.6266666666666666	0.6999999999999998	0.3666666666666667	0.28	0.3	0.6666666666666666	0.5866666666666668	0.62	0.5	0.44	0.46	0.7333333333333334	0.6533333333333333	0.68	0.4000000000000001	0.3466666666666667	0.34	0.6333333333333333	0.6000000000000001	0.62	0.4000000000000001	0.26666666666666666	0.3	0.7333333333333334	0.64	0.66	0.44	0.6533333333333333	0.46	0.6999999999999998
qwen3-14b	hotpot	116.0	289.0	578.0	0.0	0.19540229885057472	0.1845444059976932	0.1903114186851211	0.6494252873563219	0.6459054209919262	0.6522491349480969	0.25	0.209919261822376	0.2301038062283737	0.7212643678160919	0.7162629757785468	0.7249134948096886	0.25	0.23990772779700112	0.24567474048442905	0.6609195402298851	0.629757785467128	0.6401384083044983	0.20977011494252876	0.18569780853517878	0.20069204152249134	0.6580459770114943	0.6332179930795848	0.643598615916955	0.20689655172413793	0.18685121107266434	0.19550173010380623	0.617816091954023	0.5997693194925029	0.6124567474048442	0.23990772779700112	0.7162629757785468	0.24567474048442905	0.7249134948096886
qwen3-14b	math500	32.0	79.0	157.0	0.0	0.4270833333333333	0.5021097046413502	0.4522292993630573	0.5520833333333334	0.6033755274261603	0.554140127388535	0.5	0.49789029535864976	0.464968152866242	0.6041666666666666	0.6244725738396625	0.5796178343949044	0.4375	0.5443037974683544	0.48407643312101917	0.5625	0.6202531645569621	0.5796178343949044	0.4166666666666667	0.48101265822784817	0.43949044585987257	0.5	0.5358649789029536	0.4968152866242039	0.375	0.459915611814346	0.41401273885350315	0.4791666666666667	0.5443037974683543	0.4968152866242039	0.5443037974683544	0.6329113924050632	0.48407643312101917	0.5796178343949044
qwen3-14b	mmlu_pro	19.0	46.0	92.0	0.0	0.6491228070175438	0.6086956521739131	0.6304347826086957	0.7543859649122808	0.8043478260869565	0.7934782608695651	0.6666666666666666	0.6159420289855073	0.6413043478260869	0.7719298245614036	0.8550724637681159	0.8260869565217391	0.6491228070175439	0.6304347826086957	0.6521739130434783	0.7543859649122807	0.8115942028985508	0.7934782608695651	0.5964912280701754	0.5942028985507246	0.6086956521739131	0.7192982456140351	0.782608695652174	0.7608695652173912	0.5789473684210527	0.572463768115942	0.5869565217391305	0.6491228070175438	0.746376811594203	0.7065217391304349	0.6304347826086957	0.8550724637681159	0.6521739130434783	0.8260869565217391
qwen3-14b	musique	63.0	156.0	312.0	0.0	0.19047619047619047	0.15598290598290598	0.15705128205128205	0.6190476190476191	0.5897435897435898	0.5897435897435898	0.19576719576719573	0.2008547008547009	0.19230769230769232	0.708994708994709	0.7072649572649573	0.701923076923077	0.20634920634920637	0.19444444444444442	0.19230769230769232	0.5714285714285714	0.5811965811965812	0.5769230769230769	0.1693121693121693	0.17521367521367523	0.16346153846153846	0.6031746031746031	0.5982905982905983	0.5801282051282052	0.1693121693121693	0.14743589743589744	0.14743589743589744	0.5714285714285714	0.547008547008547	0.5448717948717948	0.21153846153846154	0.7072649572649573	0.19230769230769232	0.701923076923077
qwen3-14b	wikimqa	147.0	367.0	733.0	0.0	0.06802721088435375	0.05812897366030881	0.058663028649386086	0.63718820861678	0.6684831970935513	0.6643929058663028	0.08616780045351474	0.11353315168029066	0.10641200545702593	0.7392290249433108	0.6811989100817438	0.7012278308321965	0.17687074829931973	0.15622161671207993	0.15552523874488403	0.6439909297052154	0.6566757493188011	0.6589358799454298	0.06802721088435375	0.0681198910081744	0.06684856753069578	0.6167800453514739	0.6712079927338782	0.6589358799454298	0.06349206349206349	0.06176203451407811	0.06275579809004093	0.6145124716553289	0.6521344232515895	0.645293315143247	0.15622161671207993	0.6821071752951862	0.15552523874488403	0.7012278308321965
