model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-tsel.s42_step@1_val	stepfinder-tsel.s42_step@1_test	stepfinder-tsel.s42_step@1_full	stepfinder-tsel.s42_agent@1_val	stepfinder-tsel.s42_agent@1_test	stepfinder-tsel.s42_agent@1_full	stepfinder-tsel.s43_step@1_val	stepfinder-tsel.s43_step@1_test	stepfinder-tsel.s43_step@1_full	stepfinder-tsel.s43_agent@1_val	stepfinder-tsel.s43_agent@1_test	stepfinder-tsel.s43_agent@1_full	stepfinder-tsel.s44_step@1_val	stepfinder-tsel.s44_step@1_test	stepfinder-tsel.s44_step@1_full	stepfinder-tsel.s44_agent@1_val	stepfinder-tsel.s44_agent@1_test	stepfinder-tsel.s44_agent@1_full	stepfinder-tsel.s45_step@1_val	stepfinder-tsel.s45_step@1_test	stepfinder-tsel.s45_step@1_full	stepfinder-tsel.s45_agent@1_val	stepfinder-tsel.s45_agent@1_test	stepfinder-tsel.s45_agent@1_full	stepfinder-tsel.s46_step@1_val	stepfinder-tsel.s46_step@1_test	stepfinder-tsel.s46_step@1_full	stepfinder-tsel.s46_agent@1_val	stepfinder-tsel.s46_agent@1_test	stepfinder-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-4b	math500	32.0	79.0	157.0	0.0	0.07291666666666667	0.07172995780590717	0.06369426751592357	0.2916666666666667	0.28270042194092826	0.28662420382165604	0.08333333333333333	0.0759493670886076	0.06369426751592357	0.1875	0.22362869198312238	0.21656050955414016	0.041666666666666664	0.04641350210970465	0.03821656050955414	0.23958333333333334	0.23628691983122363	0.23566878980891723	0.052083333333333336	0.08016877637130802	0.05732484076433122	0.20833333333333334	0.23206751054852323	0.22292993630573252	0.125	0.08438818565400845	0.08280254777070063	0.20833333333333334	0.24472573839662448	0.23566878980891723	0.08860759493670885	0.28270042194092826	0.08280254777070063	0.28662420382165604
qwen3.5-4b	mmlu_pro	19.0	46.0	92.0	0.0	0.12280701754385964	0.09420289855072463	0.08695652173913043	0.3508771929824561	0.3695652173913044	0.33695652173913043	0.07017543859649122	0.07246376811594203	0.06521739130434782	0.2807017543859649	0.2826086956521739	0.2717391304347826	0.10526315789473684	0.050724637681159424	0.06521739130434782	0.3157894736842105	0.2898550724637681	0.2826086956521739	0.08771929824561403	0.08695652173913043	0.07608695652173914	0.24561403508771928	0.2753623188405797	0.2608695652173913	0.12280701754385964	0.10144927536231885	0.09782608695652174	0.2982456140350877	0.31884057971014496	0.29347826086956524	0.10144927536231885	0.3695652173913044	0.09782608695652174	0.33695652173913043
qwen3.5-4b	musique	63.0	156.0	312.0	0.0	0.13227513227513227	0.11538461538461538	0.11538461538461538	0.7142857142857143	0.6581196581196581	0.6698717948717948	0.20105820105820105	0.17735042735042736	0.1891025641025641	0.7407407407407408	0.6709401709401709	0.6987179487179486	0.1111111111111111	0.1217948717948718	0.12179487179487179	0.6613756613756614	0.6388888888888888	0.6506410256410257	0.1111111111111111	0.07692307692307693	0.08333333333333333	0.6296296296296297	0.5811965811965812	0.5993589743589743	0.15343915343915343	0.13888888888888887	0.1346153846153846	0.6825396825396824	0.6196581196581197	0.6410256410256411	0.17735042735042736	0.6709401709401709	0.1891025641025641	0.6987179487179486
qwen3.5-4b	wikimqa	147.0	367.0	733.0	0.0	0.10430839002267574	0.11989100817438691	0.11050477489768078	0.7165532879818595	0.670299727520436	0.6848567530695769	0.1927437641723356	0.16348773841961853	0.16371077762619374	0.7301587301587302	0.67574931880109	0.6930422919508867	0.10430839002267574	0.09627611262488646	0.09549795361527967	0.7052154195011338	0.6539509536784741	0.6712141882673942	0.09750566893424036	0.08356039963669391	0.08731241473396999	0.6893424036281179	0.673024523160763	0.6780354706684856	0.17233560090702948	0.13533151680290645	0.14051841746248295	0.709750566893424	0.6457765667574932	0.6643929058663028	0.16348773841961853	0.6784741144414169	0.16371077762619374	0.6930422919508867
qwen3-14b	arc	61.0	152.0	304.0	0.0	0.7868852459016393	0.7697368421052632	0.7828947368421053	0.9234972677595629	0.8771929824561404	0.8815789473684209	0.7759562841530054	0.787280701754386	0.7927631578947368	0.907103825136612	0.875	0.875	0.027322404371584702	0.021929824561403508	0.023026315789473683	0.12568306010928962	0.11622807017543858	0.10855263157894739	0.7650273224043715	0.7675438596491228	0.7697368421052632	0.8524590163934427	0.8333333333333334	0.8289473684210527	0.814207650273224	0.7960526315789473	0.8059210526315791	0.9234972677595629	0.8771929824561404	0.8815789473684209	0.7960526315789473	0.8771929824561404	0.8059210526315791	0.8815789473684209
qwen3-14b	gaia	10.0	25.0	50.0	0.0	0.4000000000000001	0.32	0.32	0.6666666666666666	0.5733333333333334	0.6	0.4000000000000001	0.3066666666666667	0.32	0.6666666666666666	0.6266666666666667	0.66	0.06666666666666667	0.04	0.04	0.3333333333333333	0.3066666666666667	0.34	0.30000000000000004	0.22666666666666668	0.22	0.6333333333333333	0.56	0.58	0.4000000000000001	0.3333333333333333	0.34	0.6	0.6133333333333334	0.62	0.3333333333333333	0.64	0.34	0.66
qwen3-14b	hotpot	116.0	289.0	578.0	0.0	0.21551724137931036	0.19261822376009227	0.2041522491349481	0.735632183908046	0.7289504036908881	0.7283737024221453	0.26436781609195403	0.24221453287197234	0.25259515570934254	0.75	0.7254901960784315	0.7283737024221453	0.07758620689655173	0.08881199538638984	0.08650519031141868	0.48563218390804597	0.4532871972318339	0.45501730103806226	0.26436781609195403	0.2641291810841984	0.2698961937716263	0.7298850574712644	0.7277970011534025	0.7231833910034601	0.30459770114942525	0.24913494809688577	0.27335640138408307	0.735632183908046	0.7312572087658592	0.726643598615917	0.2641291810841984	0.7347174163783161	0.27335640138408307	0.7283737024221453
qwen3-14b	math500	32.0	79.0	157.0	0.0	0.4583333333333333	0.510548523206751	0.45859872611464975	0.59375	0.6413502109704642	0.5859872611464968	0.5104166666666666	0.540084388185654	0.5031847133757962	0.6666666666666666	0.6033755274261604	0.5796178343949044	0.0625	0.008438818565400843	0.02547770700636943	0.1875	0.15611814345991562	0.17834394904458598	0.4166666666666667	0.46413502109704635	0.4203821656050956	0.6354166666666666	0.5949367088607594	0.5668789808917197	0.4791666666666667	0.5063291139240507	0.47133757961783446	0.6875	0.6371308016877637	0.6114649681528662	0.540084388185654	0.6455696202531646	0.5031847133757962	0.6114649681528662
qwen3-14b	mmlu_pro	19.0	46.0	92.0	0.0	0.6666666666666666	0.6159420289855073	0.6521739130434783	0.8070175438596491	0.8768115942028984	0.8478260869565218	0.7017543859649122	0.6231884057971014	0.6630434782608695	0.7894736842105262	0.8695652173913043	0.8369565217391305	0.07017543859649122	0.050724637681159424	0.05434782608695652	0.15789473684210525	0.15217391304347827	0.15217391304347827	0.7543859649122807	0.6159420289855073	0.6630434782608695	0.8070175438596491	0.8405797101449274	0.8152173913043478	0.7368421052631579	0.6521739130434783	0.6847826086956522	0.7719298245614036	0.818840579710145	0.8043478260869565	0.6521739130434783	0.8840579710144927	0.6847826086956522	0.8478260869565218
qwen3-14b	musique	63.0	156.0	312.0	0.0	0.17989417989417988	0.17735042735042736	0.17307692307692304	0.7619047619047619	0.7307692307692308	0.7403846153846154	0.2433862433862434	0.25427350427350426	0.2403846153846154	0.7513227513227513	0.7051282051282052	0.7211538461538461	0.14285714285714285	0.11324786324786325	0.13782051282051283	0.5185185185185185	0.49786324786324787	0.5	0.25396825396825395	0.24572649572649574	0.23397435897435895	0.7513227513227513	0.7008547008547009	0.7115384615384616	0.24867724867724864	0.2841880341880342	0.2564102564102564	0.7513227513227513	0.717948717948718	0.7339743589743589	0.2841880341880342	0.7307692307692308	0.2564102564102564	0.7403846153846154
qwen3-14b	wikimqa	147.0	367.0	733.0	0.0	0.07709750566893424	0.09536784741144415	0.08867667121418826	0.7324263038548753	0.6848319709355133	0.7012278308321965	0.13151927437641722	0.12079927338782925	0.12005457025920874	0.7188208616780045	0.6802906448683016	0.6903137789904502	0.10430839002267574	0.07538601271571299	0.08185538881309687	0.6145124716553289	0.5749318801089918	0.5852660300136425	0.15192743764172337	0.12352406902815621	0.1296043656207367	0.7346938775510203	0.6830154405086285	0.7039563437926329	0.1927437641723356	0.15985467756584923	0.17326057298772168	0.72562358276644	0.6712079927338782	0.6903137789904502	0.15985467756584923	0.6875567665758401	0.17326057298772168	0.7039563437926329
